q,ID1,ID2,beta,LocalOverlap,RegionalOverlap,Homogeneity,TurnoverComp
2,5.14RI,2.3RI,1.4853603235081,0.346474635377652,0.514639676491901,0.346474635377652,0.514639676491901
2,3.14RI,2.3RI,1.25429854757331,0.594516715234497,0.745701452426687,0.594516715234497,0.745701452426687
2,2.13RI,2.3RI,1.39664414380521,0.432003999637964,0.60335585619479,0.432003999637964,0.60335585619479
2,5.14RI,1.2RI,1.53659482713431,0.301579287319305,0.463405172865695,0.301579287319305,0.463405172865695
2,5.14RI,2.3RI,1.4853603235081,0.346474635377652,0.514639676491901,0.346474635377652,0.514639676491901
2,5.14RI,2.3RI,1.4853603235081,0.346474635377652,0.514639676491901,0.346474635377652,0.514639676491901
2,2.13RI,3.14RI,1.31065826470883,0.525950778973123,0.68934173529117,0.525950778973123,0.68934173529117
2,3.14RI,2.13RI,1.31065826470883,0.525950778973123,0.68934173529117,0.525950778973123,0.68934173529117
2,2.3RI,3.14RI,1.25429854757331,0.594516715234497,0.745701452426687,0.594516715234497,0.745701452426687
2,2.13RI,5.14RI,1.61770016853482,0.236323046075614,0.382299831465183,0.236323046075614,0.382299831465183
2,5.8RI,5.14RI,1.44702440557767,0.382146695170339,0.552975594422331,0.382146695170339,0.552975594422331
2,2.3RI,1.2RI,1.36446169092104,0.465779518258195,0.635538309078963,0.465779518258195,0.635538309078963
2,5.8RI,1.2RI,1.37450744249277,0.455066693835326,0.625492557507233,0.455066693835326,0.625492557507233
2,1.8RI,3.14RI,1.36371338264525,0.466583833122267,0.636286617354752,0.466583833122267,0.636286617354752
2,1.2RI,2.10RI,1.35584199748731,0.475098133636854,0.644158002512687,0.475098133636854,0.644158002512687
2,1.8RI,2.3RI,1.28120877744179,0.561025833739163,0.718791222558212,0.561025833739163,0.718791222558212
2,1.2RI,1.8RI,1.3975231270521,0.431103329372984,0.602476872947903,0.431103329372984,0.602476872947903
2,5.8RI,2.13RI,1.35454024843168,0.476515742013314,0.64545975156832,0.476515742013314,0.64545975156832
2,3.14RI,2.3RI,1.25429854757331,0.594516715234497,0.745701452426687,0.594516715234497,0.745701452426687
2,2.10RI,2.3RI,1.28336438309764,0.558403853450124,0.716635616902362,0.558403853450124,0.716635616902362
2,5.14RI,2.13RI,1.61770016853482,0.236323046075614,0.382299831465183,0.236323046075614,0.382299831465183
2,3.14RI,1.8RI,1.36371338264525,0.466583833122267,0.636286617354752,0.466583833122267,0.636286617354752
2,2.3RI,5.14RI,1.4853603235081,0.346474635377652,0.514639676491901,0.346474635377652,0.514639676491901
2,5.14RI,1.2RI,1.53659482713431,0.301579287319305,0.463405172865695,0.301579287319305,0.463405172865695
2,1.8RI,5.8RI,1.34993790082391,0.48154963186035,0.650062099176088,0.48154963186035,0.650062099176088
2,1.2RI,2.10RI,1.35584199748731,0.475098133636854,0.644158002512687,0.475098133636854,0.644158002512687
2,1.2RI,3.14RI,1.3545842768347,0.476467750440353,0.645415723165301,0.476467750440353,0.645415723165301
2,3.14RI,5.8RI,1.26976122408187,0.575099288014673,0.730238775918126,0.575099288014673,0.730238775918126
2,5.14RI,1.2RI,1.53659482713431,0.301579287319305,0.463405172865695,0.301579287319305,0.463405172865695
2,2.13RI,3.14RI,1.31065826470883,0.525950778973123,0.68934173529117,0.525950778973123,0.68934173529117
2,2.10RI,1.8RI,1.41683395797235,0.411598013123727,0.583166042027647,0.411598013123727,0.583166042027647
2,2.10RI,5.14RI,1.43986097616755,0.389022991180273,0.560139023832449,0.389022991180273,0.560139023832449
2,5.14RI,2.13RI,1.61770016853482,0.236323046075614,0.382299831465183,0.236323046075614,0.382299831465183
2,2.10RI,5.8RI,1.34090533797609,0.49152959821811,0.659094662023908,0.49152959821811,0.659094662023908
2,1.2RI,1.8RI,1.3975231270521,0.431103329372984,0.602476872947903,0.431103329372984,0.602476872947903
2,3.14RI,5.8RI,1.26976122408187,0.575099288014673,0.730238775918126,0.575099288014673,0.730238775918126
2,3.14RI,1.2RI,1.3545842768347,0.476467750440353,0.645415723165301,0.476467750440353,0.645415723165301
2,1.2RI,2.13RI,1.51061013091376,0.323968348332342,0.489389869086236,0.323968348332342,0.489389869086236
2,2.3RI,5.8RI,1.23762262615584,0.616001483596147,0.762377373844158,0.616001483596147,0.762377373844158
2,1.2RI,2.13RI,1.51061013091376,0.323968348332342,0.489389869086236,0.323968348332342,0.489389869086236
2,2.3RI,5.14RI,1.4853603235081,0.346474635377652,0.514639676491901,0.346474635377652,0.514639676491901
2,2.10RI,3.14RI,1.34455882989936,0.487476751128617,0.655441170100637,0.487476751128617,0.655441170100637
2,3.14RI,5.8RI,1.26976122408187,0.575099288014673,0.730238775918126,0.575099288014673,0.730238775918126
2,1.2RI,3.14RI,1.3545842768347,0.476467750440353,0.645415723165301,0.476467750440353,0.645415723165301
2,5.14RI,1.2RI,1.53659482713431,0.301579287319305,0.463405172865695,0.301579287319305,0.463405172865695
2,1.8RI,2.13RI,1.45472115003556,0.374833932916362,0.545278849964441,0.374833932916362,0.545278849964441
2,1.8RI,2.10RI,1.41683395797235,0.411598013123727,0.583166042027647,0.411598013123727,0.583166042027647
2,2.13RI,5.8RI,1.35454024843168,0.476515742013314,0.64545975156832,0.476515742013314,0.64545975156832
2,1.2RI,1.8RI,1.3975231270521,0.431103329372984,0.602476872947903,0.431103329372984,0.602476872947903
2,2.13RI,5.8RI,1.35454024843168,0.476515742013314,0.64545975156832,0.476515742013314,0.64545975156832
2,1.2RI,2.10RI,1.35584199748731,0.475098133636854,0.644158002512687,0.475098133636854,0.644158002512687
2,5.14RI,3.14RI,1.50453216986695,0.329316873415119,0.495467830133049,0.329316873415119,0.495467830133049
2,5.14RI,3.14RI,1.50453216986695,0.329316873415119,0.495467830133049,0.329316873415119,0.495467830133049
